n_h,scaling_factor,learning_rate,num_iterations,cost,accuracy
2,0.1,0.1,2000,1.6373,35.312
2,0.1,0.1,3000,1.630532,51.875
2,0.1,0.1,5000,1.627105,44.375
2,0.1,0.1,7000,1.626406,47.812
2,0.1,0.1,10000,1.61377,49.062
2,0.1,0.1,15000,1.623561,40.938
2,0.1,0.1,20000,1.611618,48.438
2,0.1,0.1,30000,1.623037,39.688
2,0.1,0.1,50000,1.62258,44.688
2,0.1,0.3,500,1.63413,41.25
2,0.1,0.3,1000,1.638983,51.562
2,0.1,0.3,2000,1.626523,43.75
2,0.1,0.3,3000,1.624735,39.375
2,0.1,0.3,5000,1.612283,48.75
2,0.1,0.3,7000,1.623295,42.5
2,0.1,0.3,10000,1.626136,50
2,0.1,0.3,15000,1.607925,47.812
2,0.1,0.3,20000,1.60647,47.812
2,0.1,0.3,30000,1.61792,41.562
2,0.1,0.3,50000,1.614447,39.688
2,0.1,0.5,500,1.630002,45
2,0.1,0.5,1000,1.627631,42.188
2,0.1,0.5,2000,1.625267,44.375
2,0.1,0.5,3000,1.624635,46.562
2,0.1,0.5,5000,1.623241,39.688
2,0.1,0.5,7000,1.622339,42.5
2,0.1,0.5,10000,1.607334,47.812
2,0.1,0.5,15000,1.6065,47.812
2,0.1,0.5,20000,1.618253,40.625
2,0.1,0.5,30000,1.614413,39.688
2,0.1,0.5,50000,1.603655,48.125
2,0.1,0.7,500,1.631334,33.75
2,0.1,0.7,1000,1.615808,49.062
2,0.1,0.7,2000,1.629746,50.625
2,0.1,0.7,3000,1.611522,48.125
2,0.1,0.7,5000,1.617003,30
2,0.1,0.7,7000,1.62233,43.438
2,0.1,0.7,10000,1.621458,42.188
2,0.1,0.7,15000,1.616672,40.625
2,0.1,0.7,20000,1.615275,39.375
2,0.1,0.7,30000,1.613535,39.688
2,0.1,0.7,50000,1.620582,53.438
2,0.1,0.9,500,1.632279,50
2,0.1,0.9,1000,1.613825,49.375
2,0.1,0.9,2000,1.611699,48.75
2,0.1,0.9,3000,1.611907,48.438
2,0.1,0.9,5000,1.623794,41.25
2,0.1,0.9,7000,1.609616,49.375
2,0.1,0.9,10000,1.608779,48.125
2,0.1,0.9,15000,1.616586,40.938
2,0.1,0.9,20000,1.60716,48.75
2,0.1,0.9,30000,1.614595,40.938
2,0.1,0.9,50000,1.605132,49.062
2,0.1,1.1,500,1.627614,44.375
2,0.1,1.1,1000,1.624554,45
2,0.1,1.1,2000,1.627214,40
2,0.1,1.1,3000,1.61199,51.25
2,0.1,1.1,5000,1.620697,30.625
2,0.1,1.1,7000,1.610064,48.75
2,0.1,1.1,10000,1.609134,48.438
2,0.1,1.1,15000,1.609264,51.562
2,0.1,1.1,20000,1.607909,50.938
2,0.1,1.1,30000,1.614638,44.375
2,0.1,1.1,50000,1.613568,43.75
2,0.1,1.3,500,1.625613,42.812
2,0.1,1.3,1000,1.614657,50.313
2,0.1,1.3,2000,1.61298,48.75
2,0.1,1.3,3000,1.623911,40
2,0.1,1.3,5000,1.613369,52.5
2,0.1,1.3,7000,1.617374,30.625
2,0.1,1.3,10000,1.618316,44.688
2,0.1,1.3,15000,1.616124,41.562
2,0.1,1.3,20000,1.62166,53.75
2,0.1,1.3,30000,1.613704,42.812
2,0.1,1.3,50000,1.60599,50.625
2,0.1,1.5,500,1.62648,44.688
2,0.1,1.5,1000,1.625568,47.5
2,0.1,1.5,2000,1.613708,51.875
2,0.1,1.5,3000,1.624983,51.875
2,0.1,1.5,5000,1.625978,46.562
2,0.1,1.5,7000,1.610148,51.875
2,0.1,1.5,10000,1.617232,36.562
2,0.1,1.5,15000,1.615454,36.875
2,0.1,1.5,20000,1.615409,30.625
2,0.1,1.5,30000,1.614978,44.375
2,0.1,1.5,50000,1.602929,31.875
2,0.1,1.8,500,1.630472,50
2,0.1,1.8,1000,1.62246,33.75
2,0.1,1.8,2000,1.624875,36.875
2,0.1,1.8,3000,1.624996,38.125
2,0.1,1.8,5000,1.62414,37.5
2,0.1,1.8,7000,1.626092,52.5
2,0.1,1.8,10000,1.624992,47.188
2,0.1,1.8,15000,1.615257,36.875
2,0.1,1.8,20000,1.615413,41.562
2,0.1,1.8,30000,1.613153,37.188
2,0.1,1.8,50000,1.611538,38.438
2,0.3,0.03,500,1.874288,51.25
2,0.3,0.03,1000,1.727834,37.812
2,0.3,0.03,2000,1.680969,46.875
2,0.3,0.03,3000,1.647749,38.75
2,0.3,0.03,5000,1.642916,49.062
2,0.3,0.03,7000,1.630991,37.5
2,0.3,0.03,10000,1.636819,43.75
2,0.3,0.03,15000,1.618323,49.062
2,0.3,0.03,20000,1.630031,33.438
2,0.3,0.03,30000,1.613927,49.375
2,0.3,0.03,50000,1.612093,49.062
2,0.3,0.1,500,1.709147,51.562
2,0.3,0.1,1000,1.658146,52.812
2,0.3,0.1,2000,1.642777,52.812
2,0.3,0.1,3000,1.639752,44.688
2,0.3,0.1,5000,1.627947,48.75
2,0.3,0.1,7000,1.625098,36.875
2,0.3,0.1,10000,1.624929,41.25
2,0.3,0.1,15000,1.624051,44.688
2,0.3,0.1,20000,1.628408,52.188
